user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
AradevonCrafts,FL,"MojiLife, Elk River Soap Co., CTFO cbd oil & Thrive Le-Vel, 🌺 ⬇️ link in bio ⬇️ 🌺",2012-05-24 00:19:14,985,972,1833,False,2020-08-06 16:39:44,Check out this Amazon deal: Moosth Cord Locks Toggles for Drawstrings Elastic Cord Adjuster Non Slip Stopper (50pcs… https://t.co/eUF9LtG0zq,,Twitter Web App,False
Radio Silent,"NY,NY",All tweets sent are for info purposes only and should't be construed as an offer or solicitation to buy or sell securities. Not a licensed broker. Just opinion,2011-04-16 15:43:56,35099,29,16095,False,2020-08-06 16:36:16,"$MSMY .0026 up and thin guys #COVID19 #handsanitizer plays are hot why?

Volume(Heavy Day)
Today's volume of 22,026… https://t.co/Q08A2XknIE","['COVID19', 'handsanitizer']",Twitter Web App,False
Radio Silent,"NY,NY",All tweets sent are for info purposes only and should't be construed as an offer or solicitation to buy or sell securities. Not a licensed broker. Just opinion,2011-04-16 15:43:56,35099,29,16095,False,2020-08-06 16:34:25,"$MSMY .0024 #COVID19 #handsanitizer play 

Big updates company coming from the company:

Pivot .0049

Perfect Botto… https://t.co/y2MET7sWY9","['COVID19', 'handsanitizer']",Twitter Web App,False
Radio Silent,"NY,NY",All tweets sent are for info purposes only and should't be construed as an offer or solicitation to buy or sell securities. Not a licensed broker. Just opinion,2011-04-16 15:43:56,35099,29,16095,False,2020-08-06 16:31:09,"$MSMY .0024 falling #handsanitozer #COVID19 getting found again as the #WAVE2 shutting down National Voting

Volume… https://t.co/xdDfo9A2dO","['handsanitozer', 'COVID19', 'WAVE2']",Twitter Web App,False
sⒸⓀwish,NC,#LiveMusic #DMB #Guitar #Barefoot #Cigars #Whiskey #Life #Liberty #Happiness #patriot #Patriots #carnivore #keto #NSNG #yes2meat #meatheals #RIPDoc,2011-12-11 14:17:03,135,821,15203,False,2020-08-06 16:29:19,What causes AFM and what is going to be mandatory because of #Covid19 hmmmmmm? 🤔 https://t.co/lVRuBU946u,['Covid19'],Twitter Web App,False
Radio Silent,"NY,NY",All tweets sent are for info purposes only and should't be construed as an offer or solicitation to buy or sell securities. Not a licensed broker. Just opinion,2011-04-16 15:43:56,35099,29,16095,False,2020-08-06 16:28:16,"$MSMY .0024 falling #covid19 breakout volume here guys

 Vol: 9,410,432 

Pivot .0049 

Perfect Floor 

Full DD bel… https://t.co/rxlZPTqouz",['covid19'],Twitter Web App,False
Anne,NC,Strong independent women. Don’t take no shit. #Trump supporter #sonfuturemarine,2015-08-03 16:31:32,1037,1467,16552,False,2020-08-06 16:28:15,As I sit here waiting for my vehicle to get done. People have the paper masks from China on. That really grosses 🤮… https://t.co/JWt4UZkhiM,,Twitter for iPhone,False
Radio Silent,"NY,NY",All tweets sent are for info purposes only and should't be construed as an offer or solicitation to buy or sell securities. Not a licensed broker. Just opinion,2011-04-16 15:43:56,35100,29,16095,False,2020-08-06 16:26:23,"$MSMY .0022 falling #COVID19 getting found take a look at the massive volume:

Volume(Heavy Day)
Today's volume of… https://t.co/EBljcJT4XR",['COVID19'],Twitter Web App,False
Matthew Ford,"Boone,NC","Being born with many challenges ,but found out by some unknown form of  sepsis that it everyday is a blessing.

https://t.co/pLPon9lK2k",2012-07-24 02:07:42,113,679,144,False,2020-08-06 16:26:04,"Please support my GoFundMe campaign: https://t.co/VFKDyELh6b @gofundme,@SepsisSociety ,@SepsisWarriors ,#selfie,… https://t.co/09aZVCIBXU",['selfie'],Twitter for Android,False
Radio Silent,"NY,NY",All tweets sent are for info purposes only and should't be construed as an offer or solicitation to buy or sell securities. Not a licensed broker. Just opinion,2011-04-16 15:43:56,35101,29,16095,False,2020-08-06 16:25:08,"$MSMY .0022 #COVID19 #handsanitizer play 

Pivot .0049

Remarks: Perfect buy zones at floor, look to add take your… https://t.co/Z9cfegFrOp","['COVID19', 'handsanitizer']",Twitter Web App,False
Daniellezbub 🌹,TN,Nope.,2011-07-08 00:51:57,706,1064,26797,False,2020-08-06 16:22:53,20 days with no results from a #COVID19 test. The system is useless and broken.,['COVID19'],Twitter for Android,False
Chicago Event Pro,"Chicago,IL","Event and marketing professional with a gift for creating and implementing strategy. Gift of gab, lover of great wine. #eventprofs #marketingprofs #opentowork",2010-11-19 20:41:25,1597,2179,9374,False,2020-08-06 16:20:20,I’ve started wearing clothes that aren’t stretchy again. I hope that’s a sign that the tide is changing 😂 #COVID19 #QuarantineLife,"['COVID19', 'QuarantineLife']",Twitter for iPhone,False
Richard CoeurdeLion,"Lake Ozark,Mo/Overland Park,Ks","Grateful naturalized citizen.Purveyor of truths. Edify me with facts, common sense & logic. I do not suffer fools or ad hominems. Civil discussion welcomed.",2009-08-03 15:21:25,2821,3625,11697,False,2020-08-06 16:20:19,@mitchellreports I'm speechless on #DrAzar's verbal gymnastic in rationalizing Imbecile @realDonaldtRump &amp; sycophan… https://t.co/bJ4cpkf4PN,['DrAzar'],Twitter Web App,False
Tom Coomes,"South Bend,IN","Chief Meteorologist @ABC57News - Weather, Travel, Craft Beer, Good Food & Gardening. If I'm not doing that I'm on my bike. #Boilermaker",2009-05-02 18:55:12,3521,1721,3955,True,2020-08-06 16:20:11,St. Joseph county also had it's highest recorded single day transmissions according to the state website but the po… https://t.co/IEclUW9LRH,,Twitter Web App,False
Tom Coomes,"South Bend,IN","Chief Meteorologist @ABC57News - Weather, Travel, Craft Beer, Good Food & Gardening. If I'm not doing that I'm on my bike. #Boilermaker",2009-05-02 18:55:12,3521,1721,3955,True,2020-08-06 16:15:11,"#COVID19 

According to @StateHealthIN update the state set a new daily record for new transmissions with over 1,00… https://t.co/nSwrpyumCN",['COVID19'],Twitter Web App,False
